Config,Layers,Heads,BLEU,ROUGE-L,Train Time (s),GPU Mem (MB)
Base,3,8,21.878689307634335,0.519399881362915,191.36254382133484,1515.85400390625
Shallow,1,8,13.871572809315744,0.4282832443714142,107.69158339500427,1515.85400390625
Deep,6,8,22.53257691661682,0.5065957307815552,324.33486700057983,2177.53564453125
Low-Head,3,4,25.14181431973351,0.5121188163757324,182.363689661026,2177.53564453125
