Method,BLEU,ROUGE-L,Entropy
additive,21.975630027990505,0.5327435731887817,1.3338182413190038
multiplicative,17.865711869766887,0.474365770816803,0.029896946269453887
dot,21.046007146736027,0.5216064453125,1.5604004024214289
